ListName,Code,SortCode,PctValue,PctValue2,CodeDescription,PctLower,PctUpper,AbuLower,AbuUpper,AbuMax,AbuDenom,AbuDescription,LocalLower,LocalUpper
Beheermonitoringsschaal2017,ZSR,50,0.1,0.01,"Zeer schaars - lokale bedekking in rand, rand 6,25%",0.0,0.30,1,3,50,,,0,12.5
Beheermonitoringsschaal2017,S,60,1.0,0.33,schaars,0.0,5.00,4,9,50,,4 tot 9 individuen,,
Beheermonitoringsschaal2017,S2,70,0.4,0.12,"Schaars - lokale bedekking 5% afwijkende vegetatie 37,5%",0.0,1.90,4,9,50,,,25,50
Beheermonitoringsschaal2017,S4,80,0.2,0.06,"Schaars - lokale bedekking 5% afwijkende vegetatie 18,75%",0.0,0.90,4,9,50,,,12.5,25
Beheermonitoringsschaal2017,S8,90,0.1,0.02,"Schaars - lokale bedekking 5% afwijkende vegetatie 6,25%",0.0,0.30,4,9,50,,,0,12.5
Beheermonitoringsschaal2017,SR,100,0.1,0.02,"Schaars - lokale bedekking in rand, rand 6,25%",0.0,0.30,4,9,50,,,0,12.5
Beheermonitoringsschaal2017,WT,110,1.5,1.50,Weinig talrijk,0.0,5.00,10,50,50,,10 tot 50 individuen,,
Beheermonitoringsschaal2017,WT2,120,0.6,0.57,"Weinig talrijk - lokale bedekking 5% afwijkende vegetatie 37,5%",0.0,1.90,10,50,50,,,25,50
Beheermonitoringsschaal2017,WT4,130,0.3,0.27,"Weinig talrijk - lokale bedekking 5% afwijkende vegetatie 18,75%",0.0,0.90,10,50,50,,,12.5,25
Beheermonitoringsschaal2017,WT8,140,0.1,0.09,"Weinig talrijk - lokale bedekking 5% afwijkende vegetatie 6,25%",0.0,0.30,10,50,50,,,0,12.5
Beheermonitoringsschaal2017,WTR,150,0.1,0.09,"Weinig talrijk - lokale bedekking in rand, rand 6,25%",0.0,0.30,10,50,50,,,0,12.5
Beheermonitoringsschaal2017,T,160,3.0,2.50,Talrijk,0.0,5.00,50,,,,meer dan 50 individuen,,
Beheermonitoringsschaal2017,T2,170,1.1,0.95,"Talrijk - lokale bedekking 5% afwijkende vegetatie 37,5%",0.0,1.90,50,,,,,25,50
Beheermonitoringsschaal2017,T4,180,0.6,0.45,"Talrijk - lokale bedekking 5% afwijkende vegetatie 18,75%",0.0,0.90,50,,,,,12.5,25
Beheermonitoringsschaal2017,T8,190,0.2,0.15,"Talrijk - lokale bedekking 5% afwijkende vegetatie 6,25%",0.0,0.30,50,,,,,0,12.5
Beheermonitoringsschaal2017,TR,200,0.2,0.15,"Talrijk - lokale bedekking in rand, rand 6,25%",0.0,0.30,50,,,,,0,12.5
Beheermonitoringsschaal2017,B,210,15.0,15.00,Bedekkend,5.0,25.00,,,,,niet van belang,,
Beheermonitoringsschaal2017,B2,220,5.6,5.65,"Bedekkend - lokale bedekking 5% afwijkende vegetatie 37,5%",1.9,9.40,,,,,,25,50
Beheermonitoringsschaal2017,B4,230,2.8,2.80,"Bedekkend - lokale bedekking 5% afwijkende vegetatie 18,75%",0.9,4.70,,,,,,12.5,25
Beheermonitoringsschaal2017,B8,240,0.9,0.95,"Bedekkend - lokale bedekking 5% afwijkende vegetatie 6,25%",0.3,1.60,,,,,,0,12.5
Beheermonitoringsschaal2017,BR,250,0.9,0.95,"Bedekkend - lokale bedekking in rand, rand 6,25%",0.3,1.60,,,,,,0,12.5
Beheermonitoringsschaal2017,KB,260,37.5,37.50,Kwartbedekkend,25.0,50.00,,,,,niet van belang,,
Beheermonitoringsschaal2017,KB2,270,14.1,14.10,"Kwartbedekkend - lokale bedekking 5% afwijkende vegetatie 37,5%",9.4,18.80,,,,,,25,50
Beheermonitoringsschaal2017,KB4,280,7.0,7.05,"Kwartbedekkend - lokale bedekking 5% afwijkende vegetatie 18,75%",4.7,9.40,,,,,,12.5,25
Beheermonitoringsschaal2017,KB8,290,2.3,2.35,"Kwartbedekkend - lokale bedekking 5% afwijkende vegetatie 6,25%",1.6,3.10,,,,,,0,12.5
Beheermonitoringsschaal2017,KBR,300,0.9,2.35,"Kwartbedekkend - lokale bedekking in rand, rand 6,25%",1.6,3.10,,,,,,0,12.5
Beheermonitoringsschaal2017,HB,310,62.5,62.50,Halfbedekkend,50.0,75.00,,,,,niet van belang,,
Beheermonitoringsschaal2017,HB2,320,23.4,23.45,"Halfbedekkend - lokale bedekking 5% afwijkende vegetatie 37,5%",18.8,28.10,,,,,,25,50
Beheermonitoringsschaal2017,HB4,330,11.7,11.75,"Halfbedekkend - lokale bedekking 5% afwijkende vegetatie 18,75%",9.4,14.10,,,,,,12.5,25
Beheermonitoringsschaal2017,HB8,340,3.9,3.90,"Halfbedekkend - lokale bedekking 5% afwijkende vegetatie 6,25%",3.1,4.70,,,,,,0,12.5
Beheermonitoringsschaal2017,HBR,350,1.5,3.90,"Halfbedekkend - lokale bedekking in rand, rand 6,25%",3.1,4.70,,,,,,0,12.5
Beheermonitoringsschaal2017,D,360,87.5,87.50,Dominant,75.0,100.00,,,,,niet van belang,,
Beheermonitoringsschaal2017,D2,370,32.8,32.80,"Dominant - lokale bedekking 5% afwijkende vegetatie 37,5%",28.1,37.50,,,,,,25,50
Beheermonitoringsschaal2017,D4,380,16.4,16.45,"Dominant - lokale bedekking 5% afwijkende vegetatie 18,75%",14.1,18.80,,,,,,12.5,25
Beheermonitoringsschaal2017,D8,390,5.5,5.50,"Dominant - lokale bedekking 5% afwijkende vegetatie 6,25%",4.7,6.30,,,,,,0,12.5
Beheermonitoringsschaal2017,DR,,,5.50,"Halfbedekkend - lokale bedekking in rand, rand 6,25%",4.7,6.30,,,,,,0,12.5
Beheersmonitoringsscha,Aa,10,15.0,15.00,Abundant,5.0,25.00,,,,,,,
Beheersmonitoringsscha,Ab,20,5.0,2.50,Abundant,0.0,5.00,101,,,,,,
Beheersmonitoringsscha,C,30,37.5,37.50,Co-dominant,25.0,50.00,,,,,irrelevant,,
Beheersmonitoringsscha,Da,40,87.5,87.50,Dominant,75.0,100.00,,,,,irrelevant,,
Beheersmonitoringsscha,Db,50,62.5,62.50,Dominant,50.0,75.00,,,,,irrelevant,,
Beheersmonitoringsscha,F,60,4.0,0.15,Frequent,0.0,5.00,21,100,1000,,,,
Beheersmonitoringsscha,O,70,3.0,0.04,Occasioneel/verspreid,0.0,5.00,11,20,1000,,,,
Beheersmonitoringsscha,R,80,1.0,0.01,Rare/zeer schaars,0.0,5.00,1,3,1000,,,,
Beheersmonitoringsscha,S,90,0.5,0.02,Schaars,0.0,5.00,4,10,1000,,,,
Braun/Blanquet,r,5,1.0,0.08,Solitary,0.0,1.00,1,2,10,,,,
Braun/Blanquet,+,10,2.0,1.33,Few,1.0,2.00,3,10,10,,,,
Braun/Blanquet,1,20,3.0,3.50,,2.0,5.00,,,,,,,
Braun/Blanquet,2,30,13.0,15.00,,5.0,25.00,,,,,,,
Braun/Blanquet,3,40,38.0,37.50,,25.0,50.00,,,,,,,
Braun/Blanquet,4,50,68.0,62.50,,50.0,75.00,,,,,,,
Braun/Blanquet,5,60,88.0,87.50,,75.0,100.00,,,,,,,
"Braun/Blanquet (B,D&S)",r,100,1.0,0.08,Solitary,0.0,1.00,1,2,10,,,,
"Braun/Blanquet (B,D&S)",+,200,2.0,1.33,Few,1.0,2.00,3,10,10,,,,
"Braun/Blanquet (B,D&S)",1,300,3.0,2.50,,2.0,3.00,,,,,,,
"Braun/Blanquet (B,D&S)",2m,400,4.0,4.00,,3,5.00,,,,,,,
"Braun/Blanquet (B,D&S)",2a,500,8.0,7.50,,5,10.00,,,,,,,
"Braun/Blanquet (B,D&S)",2b,600,18.0,17.50,,10.0,25.00,,,,,,,
"Braun/Blanquet (B,D&S)",3,700,38.0,37.50,,25.0,50.00,,,,,,,
"Braun/Blanquet (B,D&S)",4,800,68.0,62.50,,50.0,75.00,,,,,,,
"Braun/Blanquet (B,D&S)",5,900,88.0,87.50,,75.0,100.00,,,,,,,
BraunBlanquet (BDS) Nr,1,10,1.0,0.08,Solitary,0.0,1.00,1,2,10,,,,
BraunBlanquet (BDS) Nr,2,20,2.0,1.33,Few,1.0,2.00,3,10,10,,,,
BraunBlanquet (BDS) Nr,3,30,3.0,2.50,,2.0,3.00,,,,,,,
BraunBlanquet (BDS) Nr,4,40,4.0,4.00,,3,5.00,,,,,,,
BraunBlanquet (BDS) Nr,5,50,8.0,7.50,,5,10.00,,,,,,,
BraunBlanquet (BDS) Nr,6,60,18.0,17.50,,10.0,25.00,,,,,,,
BraunBlanquet (BDS) Nr,7,70,38.0,37.50,,25.0,50.00,,,,,,,
BraunBlanquet (BDS) Nr,8,80,68.0,62.50,,50.0,75.00,,,,,,,
BraunBlanquet (BDS) Nr,9,90,88.0,87.50,,75.0,100.00,,,,,,,
BraunBlanquet Numeriek,1,10,1.0,0.08,Solitary,0.0,1.00,1,2,10,,,,
BraunBlanquet Numeriek,2,20,2.0,1.33,Few,1.0,2.00,3,10,10,,,,
BraunBlanquet Numeriek,3,30,3.0,3.50,,2.0,5.00,,,,,,,
BraunBlanquet Numeriek,4,40,13.0,15.00,,5,25.00,,,,,,,
BraunBlanquet Numeriek,5,50,38.0,37.50,,25.0,50.00,,,,,,,
BraunBlanquet Numeriek,6,60,68.0,62.50,,50.0,75.00,,,,,,,
BraunBlanquet Numeriek,7,70,88.0,87.50,,75.0,100.00,,,,,,,
Londo (1) volledig,.1,10,1.0,1.00,,1.0,,,,,,,,
Londo (1) volledig,.2,20,2.0,2.00,,1.0,3.00,,,,,,,
Londo (1) volledig,.4,30,4.0,4.00,,3.0,5.00,,,,,,,
Londo (1) volledig,1-,35,7.0,7.50,,5.0,10.00,,,,,aantal individuen willekeurig,,
Londo (1) volledig,1,40,10.0,10.00,,5.0,15.00,,,,,aantal individuen willekeurig,,
Londo (1) volledig,1+,60,12.0,12.50,,10.0,15.00,,,,,aantal individuen willekeurig,,
Londo (1) volledig,2-,75,17.0,17.50,,15.0,20.00,,,,,aantal individuen willekeurig,,
Londo (1) volledig,2,80,20.0,20.00,,15.0,25.00,,,,,aantal individuen willekeurig,,
Londo (1) volledig,2+,100,22.0,22.50,,20.0,25.00,,,,,aantal individuen willekeurig,,
Londo (1) volledig,3-,105,27.0,27.50,,25.0,30.00,,,,,aantal individuen willekeurig,,
Londo (1) volledig,3,110,30.0,30.00,,25.0,35.00,,,,,aantal individuen willekeurig,,
Londo (1) volledig,3+,130,32.0,32.50,,30.0,35.00,,,,,aantal individuen willekeurig,,
Londo (1) volledig,4-,135,37.0,37.50,,35.0,40.00,,,,,aantal individuen willekeurig,,
Londo (1) volledig,4,140,40.0,40.00,,35.0,45.00,,,,,aantal individuen willekeurig,,
Londo (1) volledig,4+,160,42.0,42.50,,40.0,45.00,,,,,aantal individuen willekeurig,,
Londo (1) volledig,5-,165,47.0,47.50,,45.0,50.00,,,,,aantal individuen willekeurig,,
Londo (1) volledig,5,170,50.0,50.00,,45.0,55.00,,,,,aantal individuen willekeurig,,
Londo (1) volledig,5+,190,52.0,52.50,,50.0,55.00,,,,,aantal individuen willekeurig,,
Londo (1) volledig,6-,195,57.0,57.50,,55.0,60.00,,,,,aantal individuen willekeurig,,
Londo (1) volledig,6,200,60.0,60.00,,55.0,65.00,,,,,aantal individuen willekeurig,,
Londo (1) volledig,6+,220,62.0,62.50,,60.0,65.00,,,,,aantal individuen willekeurig,,
Londo (1) volledig,7-,225,67.0,67.50,,65.0,70.00,,,,,aantal individuen willekeurig,,
Londo (1) volledig,7,230,70.0,70.00,,65.0,75.00,,,,,aantal individuen willekeurig,,
Londo (1) volledig,7+,250,72.0,72.50,,70.0,75.00,,,,,aantal individuen willekeurig,,
Londo (1) volledig,8-,255,77.0,77.50,,75.0,80.00,,,,,aantal individuen willekeurig,,
Londo (1) volledig,8,260,80.0,80.00,,75.0,85.00,,,,,aantal individuen willekeurig,,
Londo (1) volledig,8+,280,82.0,82.50,,80.0,85.00,,,,,aantal individuen willekeurig,,
Londo (1) volledig,9-,285,87.0,87.50,,85.0,90.00,,,,,aantal individuen willekeurig,,
Londo (1) volledig,9,290,90.0,90.00,,85.0,95.00,,,,,aantal individuen willekeurig,,
Londo (1) volledig,9+,310,92.0,92.50,,90.0,95.00,,,,,aantal individuen willekeurig,,
Londo (1) volledig,10,315,97.0,97.50,,95.0,100.00,,,,,aantal individuen willekeurig,,
Londo (1) volledig,a1,320,1.0,0.30,,0.0,1.00,21,100,100,,talrijk - ampulis,,
Londo (1) volledig,a2,330,2.0,1.61,,1.0,3.00,21,100,100,,talrijk - ampulis,,
Londo (1) volledig,a4,340,4.0,3.61,,3.0,5.00,21,100,100,,talrijk - ampulis,,
Londo (1) volledig,m1,350,1.0,0.50,,0.0,1.00,100,,,,zeer talrijk >100 - multum,,
Londo (1) volledig,m2,360,2.0,2.00,,1.0,3.00,100,,,,zeer talrijk >100 - multum,,
Londo (1) volledig,m4,370,4.0,4.00,,3.0,5.00,100,,,,zeer talrijk >100 - multum,,
Londo (1) volledig,p1,380,1.0,0.06,,0.0,1.00,4,20,100,,weinig talrijk - paulum,,
Londo (1) volledig,p2,390,2.0,1.12,,1.0,3.00,4,20,100,,weinig talrijk - paulum,,
Londo (1) volledig,p4,400,4.0,3.12,,3.0,5.00,4,20,100,,weinig talrijk - paulum,,
Londo (1) volledig,r1,410,1.0,0.01,,0.0,1.00,1,3,100,,sporadisch - raro,,
Londo (1) volledig,r2,420,2.0,1.02,,1.0,3.00,1,3,100,,sporadisch - raro,,
Londo (1) volledig,r4,430,4.0,3.02,,3.0,5.00,1,3,100,,sporadisch - raro,,
Londo (2) verkort,1,10,10.0,10.00,,5.0,15.00,,,,,,,
Londo (2) verkort,10,20,97.0,97.50,,95.0,100.00,,,,,,,
Londo (2) verkort,2,30,20.0,20.00,,15.0,25.00,,,,,,,
Londo (2) verkort,3,40,30.0,30.00,,25.0,35.00,,,,,,,
Londo (2) verkort,4,50,40.0,40.00,,35.0,45.00,,,,,,,
Londo (2) verkort,5,60,50.0,50.00,,45.0,55.00,,,,,,,
Londo (2) verkort,6,70,60.0,60.00,,55.0,65.00,,,,,,,
Londo (2) verkort,7,80,70.0,70.00,,65.0,75.00,,,,,,,
Londo (2) verkort,8,90,80.0,80.00,,75.0,85.00,,,,,,,
Londo (2) verkort,9,100,90.0,90.00,,85.0,95.00,,,,,,,
Londo (2) verkort,a,110,3.0,1.51,,0.0,5.00,21,100,100,,talrijk - ampulis,,
Londo (2) verkort,m,120,4.0,2.50,,0.0,5.00,100,,,,zeer talrijk >100 - multum,,
Londo (2) verkort,p,130,2.0,0.30,,0.0,5.00,4,20,100,,weinig talrijk - paulum,,
Londo (2) verkort,r,140,1.0,0.05,,0.0,5.00,1,3,100,,sporadisch - raro,,
Londo origineel,.1,10,1.0,0.50,,0.0,1.00,,,,,,,
Londo origineel,.2,20,2.0,2.00,,1.0,3.00,,,,,,,
Londo origineel,.4,30,4.0,4.00,,3.0,5.00,,,,,,,
Londo origineel,1-,40,7.0,7.50,,5.0,10.00,,,,,,,
Londo origineel,1,55,10.0,10.00,,5.0,15.00,,,,,,,
Londo origineel,1+,60,12.0,12.50,,10.0,15.00,,,,,,,
Londo origineel,2,80,20.0,20.00,,15.0,25.00,,,,,,,
Londo origineel,3,110,30.0,30.00,,25.0,35.00,,,,,,,
Londo origineel,4,140,40.0,40.00,,35.0,45.00,,,,,,,
Londo origineel,5-,160,47.5,47.50,,45.0,50.00,,,,,,,
Londo origineel,5,170,50.0,50.00,,45.0,55.00,,,,,,,
Londo origineel,5+,180,52.5,52.50,,50.0,55.00,,,,,,,
Londo origineel,6,200,60.0,60.00,,55.0,65.00,,,,,,,
Londo origineel,7,230,70.0,70.00,,65.0,75.00,,,,,,,
Londo origineel,8,260,80.0,80.00,,75.0,85.00,,,,,,,
Londo origineel,9,290,90.0,90.00,,85.0,95.00,,,,,,,
Londo origineel,10,300,97.0,97.50,,95.0,100.00,,,,,,,
Londo origineel,a1,320,1.0,0.30,,0.0,1.00,21,100,100,,talrijk - ampulis,,
Londo origineel,a2,330,2.0,1.61,,1.0,3.00,21,100,100,,talrijk - ampulis,,
Londo origineel,a4,340,4.0,3.61,,3.0,5.00,21,100,100,,talrijk - ampulis,,
Londo origineel,m1,350,1.0,0.50,,0.0,1.00,100,,,,zeer talrijk >100 - multum,,
Londo origineel,m2,360,2.0,2.00,,1.0,3.00,100,,,,zeer talrijk >100 - multum,,
Londo origineel,m4,370,4.0,4.00,,3.0,5.00,100,,,,zeer talrijk >100 - multum,,
Londo origineel,p1,380,1.0,0.06,,0.0,1.00,4,20,100,,weinig talrijk - paulum,,
Londo origineel,p2,390,2.0,1.12,,1.0,3.00,4,20,100,,weinig talrijk - paulum,,
Londo origineel,p4,400,4.0,3.12,,3.0,5.00,4,20,100,,weinig talrijk - paulum,,
Londo origineel,r1,410,1.0,0.01,,0.0,1.00,1,3,100,,sporadisch - raro,,
Londo origineel,r2,420,2.0,1.02,,1.0,3.00,1,3,100,,sporadisch - raro,,
Londo origineel,r4,430,4.0,3.02,,3.0,5.00,1,3,100,,sporadisch - raro,,
Monitoringschaal,1,10,20.0,10.00,,0.0,20.00,,,,,,,
Monitoringschaal,2,20,40.0,30.00,,20.0,40.00,,,,,,,
Monitoringschaal,3,30,60.0,50.00,,40.0,60.00,,,,,,,
Monitoringschaal,4,40,80.0,70.00,,60.0,80.00,,,,,,,
Monitoringschaal,5,50,99.0,90.00,,80.0,100.00,,,,,,,
Pct-1,0,0,0.0,0.00,,0.0,0.00,,,,,,,
Pct-1,0-x-1,5,0.5,0.50,,0.0,1.00,,,,,,,
Pct-1,1,10,1.0,1.00,,1.0,1.00,,,,,,,
Pct-1,2,20,2.0,1.50,,1.0,2.00,,,,,,,
Pct-1,3,30,3.0,2.50,,2.0,3.00,,,,,,,
Pct-1,4,40,4.0,4.00,,4.0,4.00,,,,,,,
Pct-1,5,50,5.0,5.00,,5.0,5.00,,,,,,,
Pct-1,6,60,6.0,6.00,,6.0,6.00,,,,,,,
Pct-1,7,70,7.0,7.00,,7.0,7.00,,,,,,,
Pct-1,8,80,8.0,8.00,,8.0,8.00,,,,,,,
Pct-1,9,90,9.0,9.00,,9.0,9.00,,,,,,,
Pct-1,10,100,10.0,10.00,,10.0,10.00,,,,,,,
Pct-1,11,110,11.0,11.00,,11.0,11.00,,,,,,,
Pct-1,12,120,12.0,12.00,,12.0,12.00,,,,,,,
Pct-1,13,130,13.0,13.00,,13.0,13.00,,,,,,,
Pct-1,14,140,14.0,14.00,,14.0,14.00,,,,,,,
Pct-1,15,150,15.0,15.00,,15.0,15.00,,,,,,,
Pct-1,16,160,16.0,16.00,,16.0,16.00,,,,,,,
Pct-1,17,170,17.0,17.00,,17.0,17.00,,,,,,,
Pct-1,18,180,18.0,18.00,,18.0,18.00,,,,,,,
Pct-1,19,190,19.0,19.00,,19.0,19.00,,,,,,,
Pct-1,20,200,20.0,20.00,,20.0,20.00,,,,,,,
Pct-1,21,210,21.0,21.00,,21.0,21.00,,,,,,,
Pct-1,22,220,22.0,22.00,,22.0,22.00,,,,,,,
Pct-1,23,230,23.0,23.00,,23.0,23.00,,,,,,,
Pct-1,24,240,24.0,24.00,,24.0,24.00,,,,,,,
Pct-1,25,250,25.0,25.00,,25.0,25.00,,,,,,,
Pct-1,26,260,26.0,26.00,,26.0,26.00,,,,,,,
Pct-1,27,270,27.0,27.00,,27.0,27.00,,,,,,,
Pct-1,28,280,28.0,28.00,,28.0,28.00,,,,,,,
Pct-1,29,290,29.0,29.00,,29.0,29.00,,,,,,,
Pct-1,30,300,30.0,30.00,,30.0,30.00,,,,,,,
Pct-1,31,310,31.0,31.00,,31.0,31.00,,,,,,,
Pct-1,32,320,32.0,32.00,,32.0,32.00,,,,,,,
Pct-1,33,330,33.0,33.00,,33.0,33.00,,,,,,,
Pct-1,34,340,34.0,34.00,,34.0,34.00,,,,,,,
Pct-1,35,350,35.0,35.00,,35.0,35.00,,,,,,,
Pct-1,36,360,36.0,36.00,,36.0,36.00,,,,,,,
Pct-1,37,370,37.0,37.00,,37.0,37.00,,,,,,,
Pct-1,38,380,38.0,38.00,,38.0,38.00,,,,,,,
Pct-1,39,390,39.0,39.00,,39.0,39.00,,,,,,,
Pct-1,40,400,40.0,40.00,,40.0,40.00,,,,,,,
Pct-1,41,410,41.0,41.00,,41.0,41.00,,,,,,,
Pct-1,42,420,42.0,42.00,,42.0,42.00,,,,,,,
Pct-1,43,430,43.0,43.00,,43.0,43.00,,,,,,,
Pct-1,44,440,44.0,44.00,,44.0,44.00,,,,,,,
Pct-1,45,450,45.0,45.00,,45.0,45.00,,,,,,,
Pct-1,46,460,46.0,46.00,,46.0,46.00,,,,,,,
Pct-1,47,470,47.0,47.00,,47.0,47.00,,,,,,,
Pct-1,48,480,48.0,48.00,,48.0,48.00,,,,,,,
Pct-1,49,490,49.0,49.00,,49.0,49.00,,,,,,,
Pct-1,50,500,50.0,50.00,,50.0,50.00,,,,,,,
Pct-1,51,510,51.0,51.00,,51.0,51.00,,,,,,,
Pct-1,52,520,52.0,52.00,,52.0,52.00,,,,,,,
Pct-1,53,530,53.0,53.00,,53.0,53.00,,,,,,,
Pct-1,54,540,54.0,54.00,,54.0,54.00,,,,,,,
Pct-1,55,550,55.0,55.00,,55.0,55.00,,,,,,,
Pct-1,56,560,56.0,56.00,,56.0,56.00,,,,,,,
Pct-1,57,570,57.0,57.00,,57.0,57.00,,,,,,,
Pct-1,58,580,58.0,58.00,,58.0,58.00,,,,,,,
